Source,Target,Type,Id,Label,Weight,att1,rawWeight
13,20,Undirected,0,Emotional,15,Emotional,3
13,4,Undirected,2,Physical,27,Physical,3
13,23,Undirected,3,Cooperation,9,Cooperation,3
13,10,Undirected,4,Confrontation,3,Confrontation,3
20,10,Undirected,5,Confrontation,3,Confrontation,3
20,19,Undirected,7,Confrontation,6,Confrontation,3
13,19,Undirected,8,Confrontation,3,Confrontation,3
13,16,Undirected,11,Emotional,30,Emotional,3
20,12,Undirected,15,Communication,3,Communication,3
20,1,Undirected,16,Communication,3,Communication,3
20,22,Undirected,17,Communication,3,Communication,3
20,11,Undirected,18,Communication,3,Communication,3
20,6,Undirected,19,Communication,3,Communication,3
20,14,Undirected,20,Communication,3,Communication,3
20,2,Undirected,21,Communication,3,Communication,3
4,16,Undirected,29,Physical,18,Physical,3
23,16,Undirected,36,Cooperation,9,Cooperation,3
23,4,Undirected,37,Indirect,9,Indirect,3
13,15,Undirected,41,Physical,6,Physical,3
13,18,Undirected,42,Confrontation,3,Confrontation,3
13,3,Undirected,43,Communication,9,Communication,3
13,8,Undirected,44,Cooperation,12,Cooperation,3
23,3,Undirected,46,Communication,6,Communication,3
16,8,Undirected,49,Indirect,3,Indirect,3
15,18,Undirected,50,Cooperation,3,Cooperation,3
18,8,Undirected,52,Confrontation,3,Confrontation,3
15,4,Undirected,54,Communication,3,Communication,3
3,4,Undirected,56,Confrontation,3,Confrontation,3
16,3,Undirected,59,Communication,6,Communication,3
23,7,Undirected,60,Physical,6,Physical,3
7,18,Undirected,67,Indirect,3,Indirect,3
16,17,Undirected,68,Other,6,Other,3
4,20,Undirected,71,Emotional,12,Emotional,3
13,9,Undirected,83,Confrontation,3,Confrontation,3
8,9,Undirected,84,Communication,3,Communication,3
